No filters applied,,,,,,,,,,,
,,,,,,,,,,,
Aggregation Date,App Launch Count,Tenant Id,App Id,Device Platform,Location Country/Region,Location State,Location City,Player Version,ConcatLocation,Device Platform ,Date
7/1/2025,3,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.24121,Australia$$Not available$$Not available,windows-webplayer,7/1/2025
10/1/2025,6,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,windows-webplayer,10/1/2025
13/1/2025,4,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,windows-webplayer,13/1/2025
14/1/2025,3,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,windows-webplayer,14/1/2025
15/1/2025,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,macintosh-webplayer,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,macintosh-webplayer,15/1/2025
15/1/2025,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,15/1/2025
16/1/2025,3,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,16/1/2025
17/1/2025,4,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,17/1/2025
19/1/2025,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,windows-webplayer,19/1/2025
20/1/2025,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,windows-webplayer,20/1/2025
20/1/2025,2,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,20/1/2025
21/1/2025,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.24123,Australia$$Not available$$Not available,windows-webplayer,21/1/2025
21/1/2025,38,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,21/1/2025
22/1/2025,4,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,22/1/2025
23/1/2025,3,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,23/1/2025
24/1/2025,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.25011,Australia$$Not available$$Not available,windows-webplayer,24/1/2025
25/1/2025,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.25012,Australia$$Not available$$Not available,windows-webplayer,25/1/2025
27/1/2025,1,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.25012,Australia$$Not available$$Not available,windows-webplayer,27/1/2025
28/1/2025,2,82b3e37e-8171-485d-b10b-38dae7ed14a8,2cafa281-7f28-4d42-a36d-e3f20731b711,windows-webplayer,Australia,Not available,Not available,3.25012,Australia$$Not available$$Not available,windows-webplayer,28/1/2025